"City, School",Rank,breakfast,breakfast id,lunch,lunch id,dinner,dinner id,dessert,dessert id,fast_food,fast_food id,coffee,coffee id,night_life,night_life id,,Grocery,Retail,night life,attractions,Outdoors,Social Places,meet,Random,recreation,games,study,Sports,Performing Arts,Movies,,,,,
,2,Booster Juice,,KFC,,Subway,,,,Subway,,La Prep,,Fossil and Haggis,,,,,Fossil and Haggis,Bluffers Park,River Trail,Meeting Place,,,BV foyer,,3rd Floor BV,,,,,,,,
,3,La Prep,,Pizza Pizza,,Rex's Den,,,,Pizza Pizza,,,,,,,,,,,,,,,Gymnasium,,Humanities Wing,,,,,,,,
,4,,,Rex's Den,,Villa Madina,,,,,,,,,,,,,,,,,,,,,Library,,,,,,,,
,5,,,Tim Hortons,,La Prep,,,,,,,,,,,,,,,,,,,,,Silent Study Room,,,,,,,,
"York, York",1,Tim Hortons,,Popeyes,,Central Square Market,,,,Wendys,,Tim Hortons,,Mangia Mangia,,,,,Mangia Mangia,Sunnybrook Stables,Sunnybrook Park,Yorkdale Mall,Yorkdale Mall,Student Center,Tait Mackenzie Center,Student Center,Personal Room,,,,,,,,
,2,Starbucks,,Thai Express,,East Indian Flavor ,,,,Tim Hortons,,Starbucks,,Hoops,,,,,Hoops,Yorkdale Mall,,Sunnybrook Park,Starbucks,Cineplex,Student Field House,,Library,,,,,,,,
,3,Booster Juice,,Hero Burger,,Hero Burger,,,,Kosher Coffee,,Country Style,,Fox & Fiddle,,,,,Fox & Fiddle,,,York Lanes,Student Center,York Lanes,Rexall Center,,Silent Study Room,,,,,,,,
,4,Second Cup,,Wendys,,Wendys,,,,,,Absinthe Pub and Coffee Shop,,,,,,,,,,,,,,,Tim Hortons,,,,,,,,
,5,,,Tim Hortons,,Café du Glendon,,,,,,Second Cup,,,,,,,,,,,,,,,,,,,,,,,
"Guelph, Guelph",1,With the grain,,With the grain,,Buon Gustos,,Cornerstone Café,,Smokes Poutine,,Red Brick Café,,Frank and Stiens,,,,,Frank and Stiens,Johnston green,The Arboretum,,Residence,Buon Gustos,,,University Library,,,,,,,,
